偽錫泣恫炎才偽已�鯀� x, y, z, i, j, k 、紗堀業 a
71.745108, -34.700963, 113.485966, 0.037129, 0.928772, 0.000000、264.091492
71.706801, -34.695393, 113.492687, 0.037948, 0.928588, 0.000000、264.146692
71.668238, -34.689772, 113.499452, 0.038770, 0.928402, 0.000000、264.179458
71.629420, -34.684101, 113.506260, 0.039596, 0.928214, 0.000000、264.189850
71.590345, -34.678379, 113.513111, 0.040426, 0.928023, 0.000000、264.177941
71.551014, -34.672607, 113.520006, 0.041260, 0.927830, 0.000000、264.143813
71.511428, -34.666784, 113.526945, 0.042098, 0.927635, 0.000000、264.087560
71.471586, -34.660911, 113.533928, 0.042940, 0.927437, 0.000000、264.009285
71.431489, -34.654986, 113.540955, 0.043786, 0.927237, 0.000000、263.909104
71.391136, -34.649010, 113.548026, 0.044636, 0.927034, 0.000000、263.787143
71.350528, -34.642982, 113.555142, 0.045489, 0.926829, 0.000000、263.643538
71.309665, -34.636903, 113.562302, 0.046346, 0.926622, 0.000000、263.478435
71.268548, -34.630773, 113.569506, 0.047207, 0.926412, 0.000000、263.291992
71.227176, -34.624590, 113.576756, 0.048071, 0.926199, 0.000000、263.084379
71.185550, -34.618355, 113.584050, 0.048939, 0.925984, 0.000000、262.855773
71.143671, -34.612068, 113.591390, 0.049811, 0.925767, 0.000000、262.606365
71.101538, -34.605729, 113.598775, 0.050686, 0.925546, 0.000000、262.336354
71.059152, -34.599337, 113.606206, 0.051565, 0.925324, 0.000000、262.045950
71.016513, -34.592893, 113.613682, 0.052448, 0.925099, 0.000000、261.735376
70.973622, -34.586396, 113.621204, 0.053334, 0.924871, 0.000000、261.404861
70.930479, -34.579846, 113.628772, 0.054223, 0.924640, 0.000000、261.054647
70.887084, -34.573243, 113.636386, 0.055116, 0.924407, 0.000000、260.684986
70.843439, -34.566587, 113.644047, 0.056012, 0.924172, 0.000000、260.296138
70.799543, -34.559878, 113.651754, 0.056911, 0.923934, 0.000000、259.888375
70.755397, -34.553116, 113.659508, 0.057814, 0.923693, 0.000000、259.461978
70.711001, -34.546300, 113.667309, 0.058720, 0.923449, 0.000000、259.017238
70.666357, -34.539431, 113.675157, 0.059629, 0.923203, 0.000000、258.554455
70.621464, -34.532508, 113.683053, 0.060542, 0.922954, 0.000000、258.073939
70.576323, -34.525532, 113.690996, 0.061457, 0.922702, 0.000000、257.576008
70.530934, -34.518502, 113.698986, 0.062376, 0.922448, 0.000000、257.060991
70.485300, -34.511418, 113.707025, 0.063298, 0.922190, 0.000000、256.529225
70.439419, -34.504280, 113.715112, 0.064222, 0.921930, 0.000000、255.981056
70.393292, -34.497088, 113.723247, 0.065150, 0.921668, 0.000000、255.415349
70.346921, -34.489842, 113.731431, 0.066081, 0.921402, 0.000000、254.819687
70.300306, -34.482542, 113.739664, 0.067014, 0.921134, 0.000000、254.191413
70.253447, -34.475188, 113.747946, 0.067951, 0.920863, 0.000000、253.532590
70.206346, -34.467779, 113.756278, 0.068890, 0.920589, 0.000000、252.843146
70.159003, -34.460317, 113.764658, 0.069832, 0.920313, 0.000000、252.122991
70.111419, -34.452800, 113.773089, 0.070777, 0.920033, 0.000000、251.372041
70.063595, -34.445229, 113.781570, 0.071725, 0.919751, 0.000000、250.590219
70.015531, -34.437604, 113.790101, 0.072675, 0.919465, 0.000000、249.777458
69.967230, -34.429924, 113.798682, 0.073627, 0.919177, 0.000000、248.933697
69.918691, -34.422190, 113.807314, 0.074583, 0.918886, 0.000000、248.058881
69.869915, -34.414402, 113.815997, 0.075541, 0.918593, 0.000000、247.152967
69.820904, -34.406559, 113.824731, 0.076501, 0.918296, 0.000000、246.215915
69.771659, -34.398662, 113.833517, 0.077464, 0.917996, 0.000000、245.247695
69.722181, -34.390711, 113.842354, 0.078429, 0.917694, 0.000000、244.248287
69.672470, -34.382706, 113.851243, 0.079396, 0.917388, 0.000000、243.217674
69.622529, -34.374647, 113.860184, 0.080366, 0.917080, 0.000000、242.155852
69.572357, -34.366533, 113.869178, 0.081338, 0.916769, 0.000000、241.062821
69.521957, -34.358366, 113.878224, 0.082312, 0.916455, 0.000000、239.938592
69.471330, -34.350144, 113.887323, 0.083288, 0.916137, 0.000000、238.783183
69.420476, -34.341869, 113.896476, 0.084266, 0.915817, 0.000000、237.596618
69.369398, -34.333540, 113.905681, 0.085247, 0.915494, 0.000000、236.378934
69.318096, -34.325157, 113.914940, 0.086229, 0.915168, 0.000000、235.130171
69.266571, -34.316720, 113.924253, 0.087213, 0.914839, 0.000000、233.850381
69.214826, -34.308230, 113.933620, 0.088199, 0.914508, 0.000000、232.539622
69.162862, -34.299687, 113.943042, 0.089187, 0.914173, 0.000000、231.197961
69.110679, -34.291090, 113.952518, 0.090177, 0.913835, 0.000000、229.825474
69.058280, -34.282440, 113.962048, 0.091169, 0.913494, 0.000000、228.422244
69.005666, -34.273737, 113.971634, 0.092162, 0.913150, 0.000000、226.988364
68.952839, -34.264981, 113.981275, 0.093156, 0.912803, 0.000000、225.523932
68.899800, -34.256173, 113.990972, 0.094153, 0.912454, 0.000000、224.029058
68.846550, -34.247312, 114.000724, 0.095151, 0.912101, 0.000000、222.503857
68.793092, -34.238399, 114.010532, 0.096150, 0.911745, 0.000000、220.951486
68.739427, -34.229433, 114.020397, 0.097151, 0.911386, 0.000000、219.495633
68.685556, -34.220415, 114.030318, 0.098153, 0.911025, 0.000000、218.264304
